spiderid;Family;temperature;day0;sex;death;mass;Lifespan
MR4A32;MR4A;H;12/04/2016;M;26/09/2016;NA;167
MR4A34;MR4A;H;12/04/2016;F;28/07/2016;2.4;107
MR4A36;MR4A;H;12/04/2016;F;07/09/2016;3.2;148
MR4A38;MR4A;H;12/04/2016;F;09/08/2016;3.4;119
MR4A40;MR4A;H;12/04/2016;F;17/08/2016;3.5;127
MR4A42;MR4A;H;12/04/2016;F;26/07/2016;NA;105
MR4A46;MR4A;H;12/04/2016;F;03/10/2016;4.8;174
MR4A50;MR4A;H;12/04/2016;F;09/09/2016;4.1;150
MV3A1;MV3A;C;12/04/2016;M;14/07/2016;NA;93
MV3A3;MV3A;C;12/04/2016;F;08/06/2016;NA;57
MV3A5;MV3A;C;12/04/2016;M;27/11/2016;NA;229
MV3A7;MV3A;C;12/04/2016;F;NA;NA;#VALORE!
MV3A13;MV3A;C;12/04/2016;M;06/08/2016;NA;116
MV3A17;MV3A;C;12/04/2016;F;06/10/2016;5.2;177
MV3A19;MV3A;C;12/04/2016;M;30/08/2016;NA;140
MV3A21;MV3A;C;12/04/2016;F;22/06/2016;NA;71
MV3A23;MV3A;C;12/04/2016;F;04/07/2016;NA;83
MV3A25;MV3A;C;12/04/2016;F;28/12/2016;6.3;260
MV3A27;MV3A;C;12/04/2016;F;17/06/2016;NA;66
MV3A29;MV3A;C;12/04/2016;F;24/11/2016;5.2;226
MV3A31;MV3A;C;12/04/2016;M;06/09/2016;NA;147
MV3A39;MV3A;C;12/04/2016;F;25/06/2016;NA;74
MV3A41;MV3A;C;12/04/2016;F;22/06/2016;NA;71
MV3A2;MV3A;H;12/04/2016;M;25/07/2016;NA;104
MV3A4;MV3A;H;12/04/2016;F;07/09/2016;2.5;148
MV3A6;MV3A;H;12/04/2016;M;22/07/2016;NA;101
MV3A8;MV3A;H;12/04/2016;F;14/07/2016;NA;93
MV3A18;MV3A;H;12/04/2016;F;15/09/2016;2;156
MV3A22;MV3A;H;12/04/2016;F;17/07/2016;NA;96
MV3A28;MV3A;H;12/04/2016;F;25/08/2016;2.8;135
MV3A32;MV3A;H;12/04/2016;F;NA;NA;#VALORE!
MV3A34;MV3A;H;12/04/2016;F;23/07/2016;NA;102
MV3A36;MV3A;H;12/04/2016;F;23/07/2016;NA;102
MV3A40;MV3A;H;12/04/2016;F;01/08/2016;2;111
MV3A46;MV3A;H;12/04/2016;F;27/08/2016;2.1;137
MV3A47;MV3A;H;12/04/2016;M;21/08/2016;3.4;131
MV3A48;MV3A;H;12/04/2016;F;25/06/2016;NA;74
MV3A49;MV3A;H;12/04/2016;F;06/07/2016;NA;85
MV3A50;MV3A;H;12/04/2016;F;11/08/2016;1.4;121
Cort5A1;Cort5;C;17/04/2016;F;NA;5;#VALORE!
Cort5A3;Cort5;C;17/04/2016;M;29/11/2016;5;226
Cort5A5;Cort5;C;17/04/2016;F;NA;3.9;#VALORE!
Cort5A7;Cort5;C;17/04/2016;F;29/10/2016;7;195
Cort5A13;Cort5;C;17/04/2016;M;15/09/2016;NA;151
Cort5A15;Cort5;C;17/04/2016;F;NA;5.4;#VALORE!
Cort5A17;Cort5;C;17/04/2016;F;NA;5.5;#VALORE!
Cort5A19;Cort5;C;17/04/2016;M;12/09/2016;NA;148
Cort5A21;Cort5;C;17/04/2016;F;16/11/2016;5.9;213
Cort5A25;Cort5;C;17/04/2016;F;29/11/2016;5.8;226
Cort5A27;Cort5;C;17/04/2016;M;29/12/2016;4.4;256
Cort5A29;Cort5;C;17/04/2016;M;20/11/2016;5.4;217
Cort5A35;Cort5;C;17/04/2016;M;25/11/2016;4.5;222
Cort5A37;Cort5;C;17/04/2016;M;12/08/2016;NA;117
Cort5A39;Cort5;C;17/04/2016;M;29/09/2016;6.2;165
Cort5A41;Cort5;C;17/04/2016;M;19/01/2017;4.9;277
Cort5A45;Cort5;C;17/04/2016;F;21/01/2017;4.4;279
Cort5A47;Cort5;C;17/04/2016;F;06/07/2016;NA;80
Cort5A48;Cort5;C;17/04/2016;F;29/07/2016;NA;103
Cort5A49;Cort5;C;17/04/2016;F;02/01/2017;5.4;260
Cort5A2;Cort5;H;17/04/2016;F;12/06/2016;NA;56
Cort5A4;Cort5;H;17/04/2016;F;25/07/2016;NA;99
Cort5A6;Cort5;H;17/04/2016;F;15/09/2016;4.1;151
Cort5A8;Cort5;H;17/04/2016;F;NA;3.5;#VALORE!
Cort5A14;Cort5;H;17/04/2016;F;02/11/2016;3.6;199
Cort5A16;Cort5;H;17/04/2016;F;02/10/2016;4.4;168
Cort5A18;Cort5;H;17/04/2016;F;15/09/2016;3.3;151
Cort5A20;Cort5;H;17/04/2016;F;11/10/2016;2.8;177
Cort5A22;Cort5;H;17/04/2016;F;03/10/2016;3.5;169
Cort5A24;Cort5;H;17/04/2016;F;30/07/2016;NA;104
Cort5A26;Cort5;H;17/04/2016;F;22/10/2016;2.9;188
Cort5A28;Cort5;H;17/04/2016;F;26/08/2016;2.4;131
Cort5A30;Cort5;H;17/04/2016;F;18/09/2016;2.6;154
Cort5A32;Cort5;H;17/04/2016;F;01/09/2016;3.5;137
Cort5A34;Cort5;H;17/04/2016;F;15/09/2016;3.3;151
Cort5A36;Cort5;H;17/04/2016;F;29/09/2016;4;165
Cort5A38;Cort5;H;17/04/2016;F;09/08/2016;2;114
Cort5A40;Cort5;H;17/04/2016;F;12/09/2016;3.4;148
Cort5A44;Cort5;H;17/04/2016;F;21/09/2016;3.7;157
Cort5A46;Cort5;H;17/04/2016;F;11/10/2016;4.6;177
Cort5A50;Cort5;H;17/04/2016;M;19/07/2016;NA;93
Cort2A1;Cort2;C;14/04/2016;F;30/12/2016;5.4;260
Cort2A5;Cort2;C;14/04/2016;M;18/10/2016;5.6;187
Cort2A7;Cort2;C;14/04/2016;F;12/11/2016;5.3;212
Cort2A13;Cort2;C;14/04/2016;F;12/11/2016;3.4;212
Cort2A15;Cort2;C;14/04/2016;M;29/08/2016;5.3;137
Cort2A21;Cort2;C;14/04/2016;F;14/11/2016;5.3;214
Cort2A25;Cort2;C;14/04/2016;M;01/11/2016;4.7;201
Cort2A29;Cort2;C;14/04/2016;F;22/11/2016;6.7;222
Cort2A33;Cort2;C;14/04/2016;F;18/11/2016;5.5;218
Cort2A35;Cort2;C;14/04/2016;F;17/09/2016;5.1;156
Cort2A49;Cort2;C;14/04/2016;F;16/11/2016;4.5;216
Cort2A16;Cort2;H;14/04/2016;F;20/07/2016;NA;97
Cort2A18;Cort2;H;14/04/2016;F;31/08/2016;2.7;139
Cort2A28;Cort2;H;14/04/2016;F;01/06/2016;NA;48
Cort2A32;Cort2;H;14/04/2016;F;27/07/2016;NA;104
Cort2A34;Cort2;H;14/04/2016;F;12/07/2016;NA;89
Cort2A38;Cort2;H;14/04/2016;F;10/08/2016;2.3;118
Cort2A39;Cort2;H;14/04/2016;F;10/08/2016;2.8;118
Cort2A41;Cort2;H;14/04/2016;F;25/08/2016;2.9;133
Cort2A45;Cort2;H;14/04/2016;F;24/08/2016;2.9;132
Cort2A48;Cort2;H;14/04/2016;F;20/07/2016;NA;97
AvoC1B1;AvoC1;C;17/04/2016;F;09/11/2016;6.1;206
AvoC1B3;AvoC1;C;17/04/2016;F;28/02/2017;4.2;317
AvoC1B11;AvoC1;C;17/04/2016;F;18/11/2016;4.1;215
AvoC1B19;AvoC1;C;17/04/2016;M;NA;5.2;#VALORE!
AvoC1B21;AvoC1;C;17/04/2016;F;08/11/2016;3.6;205
AvoC1B23;AvoC1;C;17/04/2016;M;NA;5.5;#VALORE!
AvoC1B6;AvoC1;H;17/04/2016;F;25/08/2016;3.1;130
AvoC1B8;AvoC1;H;17/04/2016;F;30/07/2016;NA;104
AvoC1B12;AvoC1;H;17/04/2016;F;14/07/2016;NA;88
AvoC1B18;AvoC1;H;17/04/2016;F;17/08/2016;1.9;122
AvoC1B22;AvoC1;H;17/04/2016;F;16/07/2016;NA;90
AvoC1B25;AvoC1;H;17/04/2016;F;01/09/2016;3.4;137
AvoW5A9;AvoW5;C;20/04/2016;F;15/10/2016;4.6;178
AvoW5A13;AvoW5;C;20/04/2016;F;29/11/2016;5.3;223
AvoW5A15;AvoW5;C;20/04/2016;F;24/01/2017;5;279
AvoW5A17;AvoW5;C;20/04/2016;M;23/08/2016;NA;125
AvoW5A19;AvoW5;C;20/04/2016;F;NA;5.5;#VALORE!
AvoW5A21;AvoW5;C;20/04/2016;F;22/11/2016;6;216
AvoW5A23;AvoW5;C;20/04/2016;M;24/09/2016;NA;157
AvoW5A27;AvoW5;C;20/04/2016;M;12/09/2016;NA;145
AvoW5A31;AvoW5;C;20/04/2016;F;10/01/2017;4.9;265
AvoW5A33;AvoW5;C;20/04/2016;F;02/08/2016;NA;104
AvoW5A35;AvoW5;C;20/04/2016;M;11/11/2016;6.8;205
AvoW5A45;AvoW5;C;20/04/2016;M;25/10/2016;6.4;188
AvoW5A2;AvoW5;H;20/04/2016;M;04/09/2016;3.1;137
AvoW5A10;AvoW5;H;20/04/2016;F;13/09/2016;3.2;146
AvoW5A12;AvoW5;H;20/04/2016;F;26/10/2016;3.6;189
AvoW5A18;AvoW5;H;20/04/2016;F;NA;4.4;#VALORE!
AvoW5A20;AvoW5;H;20/04/2016;F;01/09/2016;3.7;134
AvoW5A22;AvoW5;H;20/04/2016;M;08/09/2016;4.2;141
AvoW5A24;AvoW5;H;20/04/2016;F;07/09/2016;3.9;140
AvoW5A26;AvoW5;H;20/04/2016;F;16/09/2016;4;149
AvoW5A28;AvoW5;H;20/04/2016;F;13/08/2016;4.8;115
AvoW5A36;AvoW5;H;20/04/2016;F;18/10/2016;4.8;181
AvoW5A38;AvoW5;H;20/04/2016;F;09/09/2016;3.7;142
AvoW5A44;AvoW5;H;20/04/2016;F;08/10/2016;4.7;171
AvoW5A46;AvoW5;H;20/04/2016;F;17/09/2016;3.1;150
HTB2A1;HTB2A;C;27/04/2016;F;NA;0.3;#VALORE!
HTB2A3;HTB2A;C;27/04/2016;F;13/07/2016;NA;77
HTB2A5;HTB2A;C;27/04/2016;M;NA;5.7;#VALORE!
HTB2A7;HTB2A;C;27/04/2016;M;NA;NA;#VALORE!
HTB2A9;HTB2A;C;27/04/2016;F;NA;5.3;#VALORE!
HTB2A11;HTB2A;C;27/04/2016;F;16/11/2016;4.7;203
HTB2A13;HTB2A;C;27/04/2016;F;27/09/2016;5.5;153
HTB2A15;HTB2A;C;27/04/2016;F;NA;3.7;#VALORE!
HTB2A18;HTB2A;C;27/04/2016;M;01/02/2017;1.6;280
HTB2A17;HTB2A;C;27/04/2016;M;20/10/2016;5.9;176
HTB2A21;HTB2A;C;27/04/2016;M;08/08/2016;NA;103
HTB2A23;HTB2A;C;27/04/2016;F;10/01/2017;5.8;258
HTB2A25;HTB2A;C;27/04/2016;M;NA;2.8;#VALORE!
HTB2A27;HTB2A;C;27/04/2016;M;27/09/2016;5.1;153
HTB2A29;HTB2A;C;27/04/2016;M;NA;3.8;#VALORE!
HTB2A31;HTB2A;C;27/04/2016;M;NA;4.2;#VALORE!
HTB2A33;HTB2A;C;27/04/2016;F;16/12/2016;5.5;233
HTB2A37;HTB2A;C;27/04/2016;F;NA;6.1;#VALORE!
HTB2A41;HTB2A;C;27/04/2016;M;01/10/2016;5.2;157
HTB2A43;HTB2A;C;27/04/2016;F;NA;5.8;#VALORE!
HTB2A47;HTB2A;C;27/04/2016;F;30/09/2016;2.9;156
HTB2A2;HTB2A;H;27/04/2016;F;13/10/2016;3.7;169
HTB2A4;HTB2A;H;27/04/2016;F;13/08/2016;2;108
HTB2A6;HTB2A;H;27/04/2016;F;29/09/2016;2.7;155
HTB2A8;HTB2A;H;27/04/2016;F;13/10/2016;3.2;169
HTB2A10;HTB2A;H;27/04/2016;F;05/09/2016;2.1;131
HTB2A12;HTB2A;H;27/04/2016;F;17/08/2016;2.3;112
HTB2A14;HTB2A;H;27/04/2016;F;13/08/2016;2.3;108
HTB2A16;HTB2A;H;27/04/2016;F;25/10/2016;1.3;181
HTB2A20;HTB2A;H;27/04/2016;F;04/07/2016;NA;68
HTB2A24;HTB2A;H;27/04/2016;F;18/08/2016;1.2;113
HTB2A28;HTB2A;H;27/04/2016;F;20/10/2016;3.3;176
HTB2A30;HTB2A;H;27/04/2016;F;10/08/2016;NA;105
HTB2A32;HTB2A;H;27/04/2016;F;14/08/2016;2.2;109
HTB2A36;HTB2A;H;27/04/2016;F;09/09/2016;1.3;135
HTB2A38;HTB2A;H;27/04/2016;F;18/10/2016;2.4;174
HTB2A40;HTB2A;H;27/04/2016;F;24/09/2016;2.2;150
HTB2A42;HTB2A;H;27/04/2016;F;30/08/2016;NA;125
HTB2A46;HTB2A;H;27/04/2016;F;11/10/2016;3.3;167
HTB2A48;HTB2A;H;27/04/2016;F;03/08/2016;NA;98
HTB2A50;HTB2A;H;27/04/2016;F;01/07/2016;NA;65
Chan6A1;Chan6;C;01/05/2016;F;30/12/2016;6.4;243
Chan6A5;Chan6;C;01/05/2016;M;07/12/2016;8.8;220
Chan6A7;Chan6;C;01/05/2016;M;13/08/2016;NA;104
Chan6A9;Chan6;C;01/05/2016;M;NA;NA;#VALORE!
Chan6A13;Chan6;C;01/05/2016;M;24/09/2016;NA;146
Chan6A15;Chan6;C;01/05/2016;M;11/12/2016;4.8;224
Chan6A17;Chan6;C;01/05/2016;F;18/10/2016;5.8;170
Chan6A21;Chan6;C;01/05/2016;F;18/10/2016;5.3;170
Chan6A23;Chan6;C;01/05/2016;M;13/09/2016;NA;135
Chan6A25;Chan6;C;01/05/2016;F;12/10/2016;5.1;164
Chan6A27;Chan6;C;01/05/2016;F;15/10/2016;4.9;167
Chan6A31;Chan6;C;01/05/2016;F;11/12/2016;4.7;224
Chan6A33;Chan6;C;01/05/2016;M;20/01/2017;NA;264
Chan6A37;Chan6;C;01/05/2016;F;25/12/2016;5;238
Chan6A39;Chan6;C;01/05/2016;M;01/08/2016;NA;92
Chan6A45;Chan6;C;01/05/2016;F;23/06/2016;NA;53
Chan6A2;Chan6;H;01/05/2016;F;11/08/2016;NA;102
Chan6A4;Chan6;H;01/05/2016;F;23/07/2016;NA;83
Chan6A6;Chan6;H;01/05/2016;F;11/09/2016;3.2;133
Chan6A8;Chan6;H;01/05/2016;F;28/08/2016;2.4;119
Chan6A16;Chan6;H;01/05/2016;F;13/10/2016;4.5;165
Chan6A18;Chan6;H;01/05/2016;F;30/08/2016;2.3;121
Chan6A20;Chan6;H;01/05/2016;F;27/09/2016;2.9;149
Chan6A22;Chan6;H;01/05/2016;M;02/09/2016;2.7;124
Chan6A28;Chan6;H;01/05/2016;F;23/09/2016;3.2;145
Chan6A30;Chan6;H;01/05/2016;F;08/07/2016;NA;68
Chan6A34;Chan6;H;01/05/2016;F;13/10/2016;3.5;165
Chan6A36;Chan6;H;01/05/2016;F;19/07/2016;NA;79
Chan6A38;Chan6;H;01/05/2016;F;27/07/2016;NA;87
Chan6A42;Chan6;H;01/05/2016;F;20/09/2016;2.9;142
Chan6A44;Chan6;H;01/05/2016;F;16/09/2016;2.8;138
Chan6A47;Chan6;H;01/05/2016;F;23/07/2016;NA;83
Chan6A50;Chan6;H;01/05/2016;F;27/07/2016;NA;87
SBF3A3;SBF3A;C;15/05/2016;M;NA;7.4;#VALORE!
SBF3A5;SBF3A;C;15/05/2016;M;03/10/2016;NA;141
SBF3A7;SBF3A;C;15/05/2016;M;18/11/2016;5.9;187
SBF3A9;SBF3A;C;15/05/2016;M;07/10/2016;6.9;145
SBF3A11;SBF3A;C;15/05/2016;M;20/11/2016;NA;189
SBF3A13;SBF3A;C;15/05/2016;M;28/01/2017;5.8;258
SBF3A15;SBF3A;C;15/05/2016;M;15/09/2016;NA;123
SBF3A17;SBF3A;C;15/05/2016;F;20/11/2016;5.9;189
SBF3A19;SBF3A;C;15/05/2016;M;27/09/2016;NA;135
SBF3A21;SBF3A;C;15/05/2016;F;20/11/2016;4.4;189
SBF3A23;SBF3A;C;15/05/2016;M;29/12/2016;6.1;228
SBF3A25;SBF3A;C;15/05/2016;F;28/09/2016;6.1;136
SBF3A27;SBF3A;C;15/05/2016;M;13/11/2016;NA;182
SBF3A29;SBF3A;C;15/05/2016;M;19/10/2016;NA;157
SBF3A31;SBF3A;C;15/05/2016;F;03/12/2016;6.5;202
SBF3A33;SBF3A;C;15/05/2016;M;10/11/2016;NA;179
SBF3A35;SBF3A;C;15/05/2016;F;11/07/2016;NA;57
SBF3A37;SBF3A;C;15/05/2016;M;17/10/2016;5.4;155
SBF3A39;SBF3A;C;15/05/2016;M;13/10/2016;NA;151
SBF3A41;SBF3A;C;15/05/2016;M;22/09/2016;NA;130
SBF3A43;SBF3A;C;15/05/2016;M;19/10/2016;NA;157
SBF3A48;SBF3A;C;15/05/2016;M;03/12/2016;NA;202
SBF3A50;SBF3A;C;15/05/2016;F;15/12/2016;3.8;214
SBF3A1;SBF3A;H;15/05/2016;F;12/09/2016;3.1;120
SBF3A4;SBF3A;H;15/05/2016;F;22/11/2016;4.3;191
SBF3A6;SBF3A;H;15/05/2016;F;11/08/2016;NA;88
SBF3A8;SBF3A;H;15/05/2016;M;07/09/2016;NA;115
SBF3A10;SBF3A;H;15/05/2016;F;05/08/2016;NA;82
SBF3A12;SBF3A;H;15/05/2016;F;06/09/2016;3.4;114
SBF3A14;SBF3A;H;15/05/2016;F;24/07/2016;NA;70
SBF3A16;SBF3A;H;15/05/2016;F;25/08/2016;NA;102
SBF3A18;SBF3A;H;15/05/2016;F;22/09/2016;4;130
SBF3A20;SBF3A;H;15/05/2016;F;03/09/2016;3.1;111
SBF3A22;SBF3A;H;15/05/2016;F;22/09/2016;4.5;130
SBF3A24;SBF3A;H;15/05/2016;F;25/10/2016;5;163
SBF3A26;SBF3A;H;15/05/2016;M;11/09/2016;NA;119
SBF3A28;SBF3A;H;15/05/2016;F;13/09/2016;3.3;121
SBF3A30;SBF3A;H;15/05/2016;F;12/09/2016;NA;120
SBF3A32;SBF3A;H;15/05/2016;F;05/09/2016;NA;113
SBF3A34;SBF3A;H;15/05/2016;F;02/08/2016;NA;79
SBF3A36;SBF3A;H;15/05/2016;F;04/08/2016;NA;81
SBF3A38;SBF3A;H;15/05/2016;F;15/09/2016;NA;123
SBF3A40;SBF3A;H;15/05/2016;F;12/09/2016;3.8;120
SBF3A42;SBF3A;H;15/05/2016;F;NA;NA;#VALORE!
SBF3A44;SBF3A;H;15/05/2016;M;08/09/2016;NA;116
SBF3A46;SBF3A;H;15/05/2016;F;22/10/2016;3.9;160
Chan1A1;Chan1;C;19/05/2016;M;03/12/2016;4.8;198
Chan1A3;Chan1;C;19/05/2016;M;26/10/2016;NA;160
Chan1A5;Chan1;C;19/05/2016;M;22/08/2016;NA;95
Chan1A7;Chan1;C;19/05/2016;M;15/11/2016;5.4;180
Chan1A13;Chan1;C;19/05/2016;M;NA;5;#VALORE!
Chan1A15;Chan1;C;19/05/2016;M;28/11/2016;4.2;193
Chan1A17;Chan1;C;19/05/2016;M;NA;6.1;#VALORE!
Chan1A19;Chan1;C;19/05/2016;M;NA;NA;#VALORE!
Chan1A21;Chan1;C;19/05/2016;M;NA;4.8;#VALORE!
Chan1A23;Chan1;C;19/05/2016;M;NA;5.3;#VALORE!
Chan1A25;Chan1;C;19/05/2016;M;29/11/2016;4.9;194
Chan1A29;Chan1;C;19/05/2016;M;NA;NA;#VALORE!
Chan1A35;Chan1;C;19/05/2016;M;15/11/2016;6.2;180
Chan1A37;Chan1;C;19/05/2016;F;15/12/2016;4.6;210
Chan1A39;Chan1;C;19/05/2016;M;NA;5.7;#VALORE!
Chan1A41;Chan1;C;19/05/2016;F;29/11/2016;6.1;194
Chan1A43;Chan1;C;19/05/2016;F;10/11/2016;5.8;175
Chan1A45;Chan1;C;19/05/2016;M;08/11/2016;6.1;173
Chan1A46;Chan1;C;19/05/2016;F;30/11/2016;NA;195
Chan1A47;Chan1;C;19/05/2016;M;NA;4.1;#VALORE!
Chan1A2;Chan1;H;19/05/2016;F;31/08/2016;NA;104
Chan1A4;Chan1;H;19/05/2016;M;24/09/2016;NA;128
Chan1A6;Chan1;H;19/05/2016;F;25/11/2016;5.1;190
Chan1A8;Chan1;H;19/05/2016;F;24/09/2016;3;128
Chan1A10;Chan1;H;19/05/2016;M;07/09/2016;NA;111
Chan1A14;Chan1;H;19/05/2016;F;27/09/2016;3.8;131
Chan1A16;Chan1;H;19/05/2016;F;16/09/2016;4.1;120
Chan1A18;Chan1;H;19/05/2016;F;15/09/2016;3.2;119
Chan1A20;Chan1;H;19/05/2016;F;15/09/2016;3.6;119
Chan1A22;Chan1;H;19/05/2016;F;22/09/2016;4.4;126
Chan1A26;Chan1;H;19/05/2016;M;21/09/2016;NA;125
Chan1A28;Chan1;H;19/05/2016;F;19/09/2016;2.8;123
Chan1A32;Chan1;H;19/05/2016;F;09/09/2016;2.8;113
Chan1A34;Chan1;H;19/05/2016;F;18/10/2016;3.3;152
Chan1A36;Chan1;H;19/05/2016;F;NA;4;#VALORE!
Chan1A38;Chan1;H;19/05/2016;F;05/08/2016;NA;78
Chan1A40;Chan1;H;19/05/2016;F;30/08/2016;NA;103
Chan1A42;Chan1;H;19/05/2016;F;28/10/2016;3.7;162
Chan1A44;Chan1;H;19/05/2016;F;30/10/2016;4;164
AvoW8A1;AvoW8;C;01/06/2016;F;01/11/2016;6.1;153
AvoW8A3;AvoW8;C;01/06/2016;F;NA;5.5;#VALORE!
AvoW8A5;AvoW8;C;01/06/2016;F;NA;6;#VALORE!
AvoW8A7;AvoW8;C;01/06/2016;F;09/02/2017;5.2;253
AvoW8A9;AvoW8;C;01/06/2016;M;NA;6.4;#VALORE!
AvoW8A11;AvoW8;C;01/06/2016;F;NA;6.4;#VALORE!
AvoW8A13;AvoW8;C;01/06/2016;F;25/12/2016;5;207
AvoW8A15;AvoW8;C;01/06/2016;F;18/12/2016;5.7;200
AvoW8A17;AvoW8;C;01/06/2016;F;27/10/2016;5.5;148
AvoW8A19;AvoW8;C;01/06/2016;F;25/01/2017;6.7;238
AvoW8A21;AvoW8;C;01/06/2016;F;29/09/2016;3.6;120
AvoW8A23;AvoW8;C;01/06/2016;F;16/01/2017;5.6;229
AvoW8A25;AvoW8;C;01/06/2016;M;NA;NA;#VALORE!
AvoW8A27;AvoW8;C;01/06/2016;F;NA;6.1;#VALORE!
AvoW8A31;AvoW8;C;01/06/2016;M;21/02/2017;5.7;265
AvoW8A33;AvoW8;C;01/06/2016;F;01/11/2016;5.9;153
AvoW8A35;AvoW8;C;01/06/2016;F;NA;6.5;#VALORE!
AvoW8A39;AvoW8;C;01/06/2016;F;18/12/2016;4.6;200
AvoW8A41;AvoW8;C;01/06/2016;F;16/12/2016;5.4;198
AvoW8A43;AvoW8;C;01/06/2016;M;06/02/2017;NA;250
AvoW8A45;AvoW8;C;01/06/2016;M;14/02/2017;NA;258
AvoW8A4;AvoW8;H;01/06/2016;F;23/09/2016;NA;114
AvoW8A6;AvoW8;H;01/06/2016;F;18/11/2016;3;170
AvoW8A8;AvoW8;H;01/06/2016;F;13/11/2016;2.8;165
AvoW8A10;AvoW8;H;01/06/2016;F;24/09/2016;2.1;115
AvoW8A12;AvoW8;H;01/06/2016;F;11/10/2016;2.4;132
AvoW8A14;AvoW8;H;01/06/2016;F;21/10/2016;4.2;142
AvoW8A16;AvoW8;H;01/06/2016;F;13/11/2016;3.4;165
AvoW8A18;AvoW8;H;01/06/2016;F;27/11/2016;4;179
AvoW8A24;AvoW8;H;01/06/2016;F;19/11/2016;3.6;171
