TreeRich;Hage;Hprice;DistUrb;PlotVol;ManFee
5;-0.63;-1.345069507;9412.9;;
10;0.042133663;0.639137463;9298.82;0.797977703;-0.173554111
7;0.871767544;-0.444160445;10701.56;0.981069914;-0.134335723
11;-0.443452993;-0.562834428;6308.16;0.005810291;0.74
5;-1.213583068;0.869777043;12828.91;;
6;0.042133663;-1.497596407;13002.53;-1.103480214;
12;2.102775697;0.710632838;4882.44;;-0.173554111
8;0.5217938;-0.379515757;4371.75;0.248836314;-0.874954774
13;-0.63;-1.044384385;7047.11;0.753892769;-0.403224567
0;-0.63;-0.535569502;10462.08;-1.175557558;0.287330779
10;0.178056385;-1.443633027;8803.98;-0.598535688;-0.874954774
7;0.042133663;-0.442944183;12141.4;0.32420836;0.74
5;-0.63;0.949708839;5244.51;-0.174112271;0.507669106
13;-1.213583068;-0.109731487;11373.73;;0.52096812
13;0.042133663;-0.485116346;10256.21;1.714189709;0.507669106
8;1.01489508;-0.22744637;13425.85;;
4;-0.10642796;-0.326141056;12682.69;;
6;-0.824277361;-0.226063285;14394.1;;
10;-0.443452993;0.024263914;2059.68;;
5;-0.10642796;-0.094362735;12256.6;;
8;-0.10642796;-0.225458437;9468.73;0.981069914;0.722974591
3;-0.824277361;1.092192688;11125.78;-2.58;1.965555496
4;0.945493321;0.797119837;8276.89;-1.837280963;-0.243247618
5;-1.020820172;-0.070231346;12970.53;-0.790440118;
0;-0.443452993;-1.661411776;15130.86;;
6;1.08042135;-1.326953885;15484.09;;
7;0.042133663;-0.638385622;10239.59;-0.86;-0.874954774
2;0.5217938;-1.458375536;13762.51;-0.932868187;-0.10915163
7;-0.63;-1.129636764;10205.29;-1.229328147;-2.594930826
10;-0.10642796;-0.233420105;6302.92;0.248836314;
10;-0.10642796;0.381774235;1886.12;;
4;1.01489508;0.068704455;10399.04;0.170861602;
1;2.224814496;1.207701451;3386.73;;
13;-0.824277361;-0.455221072;6882.69;-0.448798397;
7;-1.213583068;1.218834876;12199.54;-1.579885962;1.011967384
8;-0.63;0.402869016;14368.35;;
8;0.416658331;-0.505443558;4535.6;1.21392266;0.634812272
14;-0.10642796;3.723835317;11061.67489;-0.155336837;-0.403224567
10;-0.824277361;-0.460953378;9945.080889;0.981069914;0.059790934
8;0.709169699;0.63845475;9537.323764;-0.598535688;-0.874954774
19;-1.213583068;1.268268018;10637.45255;-0.270973978;1.477462542
2;0.178056385;0.052672952;10827.48457;;-0.243247618
10;0.416658331;-0.191832733;11049.05554;;
3;0.416658331;0.624202383;6295.97914;;-0.727090217
14;0.871767544;-1.758391029;13440.4465;0.86;
4;0.945493321;0.826326229;9182.523787;0.604592345;-0.874954774
6;-1.873000773;0.612913112;5217.970687;-0.493454247;1.317531498
1;-0.268353037;-0.582988325;9115.747443;-0.86;0.109788082
2;-0.10642796;0.602774578;5592.347994;;1.248670247
1;-2.127545755;-0.803858558;10126837;;0.688344154
18;0.416658331;-1.293602143;10946.05533;;
7;1.502459469;0.714075906;7697.071185;0.981069914;
10;1.410654648;0.695717208;9322.593743;0.294353765;
8;1.201343156;0.332822114;5868.04544;0.86;
3;-1.020820172;1.09620119;8415.463581;1.416340133;2.263969228
5;-1.213583068;-0.170809733;6955.551732;;
5;1.201343156;1.002417087;2716.766808;;
11;0.5217938;0.695767691;9348.629979;;
15;-0.824277361;0.776573988;4470.023388;2.58;0.634812272
14;0.5217938;0.92982727;9338.11897;-0.86;-0.403224567
13;-0.443452993;-1.156018562;13999.0861;;
8;-0.63;0.711581759;11976.16482;0.509836391;0.942252483
10;-0.268353037;-0.713166301;14689.12448;-0.448798397;-0.754424812
10;0.945493321;0.190816607;12306.42978;1.326988651;-0.243247618
11;1.01489508;-0.356971192;16537.89956;-0.86;-0.874954774
16;-0.824277361;1.568016641;11656.55863;;
21;-2.127545755;-0.055631682;13998.82708;;
8;-1.213583068;0.251434199;11332.52337;;
4;1.87451899;-2.029854576;17707.31673;;
16;0.416658331;-1.03368599;12533.23254;;-0.603469266
8;-1.727766961;-2.062327846;16319.61415;;1.15571285
6;0.945493321;-0.0946071;11776.51436;0.170861602;-0.874954774
10;-0.10642796;-1.801468834;12533.23254;;0.779031457
4;-1.39747151;-2.542373134;24985.61498;0.170861602;
6;0.178056385;-0.814224966;12533.23254;;-0.243247618
6;0.945493321;-0.560225305;10447.45913;-0.174112271;-0.874954774
7;-0.443452993;1.224160846;10263.99107;0.44711453;0.800927453
4;0.042133663;0.421559223;6076.990035;;
12;0.416658331;0.708683076;7442.460742;-0.86;
10;1.142459015;-0.7034203;9790.540265;-0.174112271;-1.307970528
4;1.08042135;0.724800755;8489.081569;-0.270973978;-0.10915163
10;-0.443452993;1.112302671;8210.27307;0.86;0.622634742
8;1.142459015;-0.941646554;5798.641607;0.170861602;-0.874954774
9;1.08042135;0.724800755;8489.081569;-0.270973978;-1.307970528
10;-0.443452993;1.112302671;8210.27307;0.86;1.922634742
4;1.142459015;-0.941646554;5798.641607;0.170861602;-0.754424812
11;0.945493321;-0.560225305;10447.45913;-0.174112271;-1.307970528
6;-0.443452993;1.224160846;10263.99107;0.44711453;2.263969228
9;1.142459015;-0.7034203;9790.540265;-0.174112271;-1.307970528
5;1.08042135;0.724800755;8489.081569;-0.270973978;-0.10915163
13;-0.443452993;1.112302671;8210.27307;0.86;0.622634742
7;1.142459015;-0.941646554;5798.641607;0.170861602;-0.874954774
17;1.08042135;0.724800755;8489.081569;-0.270973978;-1.307970528
7;-0.443452993;1.112302671;8210.27307;0.86;1.922634742
3;1.142459015;-0.941646554;5798.641607;0.170861602;-0.754424812
15;0.945493321;-0.560225305;10447.45913;-0.174112271;-1.307970528
7;-0.443452993;1.224160846;10263.99107;0.44711453;2.263969228
